merchant_id,merchant_name,relationship_name,transaction_date,transaction_type,funding_type,card_brand,issuer_name,avs_response,cvv_response,status,count,is_cross_border,bin_prefix,auth_protocol
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,M,M,APPROVED,42,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Insufficient Funds,2,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Do Not Honour,3,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid CVV2,2,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Suspected Fraud,2,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid Card Number,3,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Generic Response Code,4,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Expired Card,2,NO,411111,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,M,M,APPROVED,40,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Insufficient Funds,3,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Do Not Honour,1,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid CVV2,1,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Suspected Fraud,2,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid Card Number,2,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Generic Response Code,4,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Expired Card,2,YES,422222,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,M,M,APPROVED,53,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Insufficient Funds,4,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Do Not Honour,1,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid CVV2,1,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Suspected Fraud,3,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Invalid Card Number,1,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Expired Card,3,NO,533333,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,M,M,APPROVED,29,NO,544444,3DS
8307196,CVS.COM,CVS/CAREMARK,2026-03-01,ECOMMERCE,DEBIT,VISA,CHASE,N,N,DECLINED:Declined - Insufficient Funds,1,NO,544444,3DS
